paragraph_index,original_text,revised_text
40,"Teece’s (1986) appropriability framework highlights that even having ownership over a particular technology is seldom enough to make profit. Marketing requires additional complementary assets such as manufacturing expertise, regulatory knowledge, the ability to conduct clinical development, investment, distribution and sales. A large pharmaceutical acquirer may therefore create value by combining the target’s research with downstream capabilities that the target does not possess. The form of the transaction may also be important. Using data from the Indian pharmaceutical industry, Basant and Jaiswal (2022) find that innovation outcomes differ across mergers, share acquisitions, and asset purchases. Although their institutional setting is not European, the findings suggest that business combinations should not be treated as equivalent and provide further support for distinguishing acquisitions according to their rationale.","Teece’s (1986) appropriability framework emphasises that owning a technology is rarely sufficient to profit from it. Commercialisation typically requires complementary assets—manufacturing expertise, regulatory knowledge, clinical-development capability, capital, and distribution and sales networks. A large pharmaceutical acquirer may accordingly create value by combining a target’s research with downstream capabilities the target lacks. The form of the transaction may matter as well. Drawing on the Indian pharmaceutical industry, Basant and Jaiswal (2022) find that innovation outcomes differ across mergers, share acquisitions, and asset purchases. Although their institutional setting is not European, the finding that business combinations should not be treated as equivalent lends further support to distinguishing acquisitions by their rationale."
42,"However, these value-creating explanations need to be considered alongside a less favourable set of mechanisms. Agency theory suggests that managers may pursue acquisitions to increase organisational size, visibility, or control even when the expected returns to shareholders are limited (Jensen, 1986). As a result, potential operating gains may be offset by overpayment, restructuring and integration costs, or managerial distraction. Integration may also destroy value where resources are redundant, organisational routines are incompatible, or key scientific personnel leave the combined firm. The knowledge-based and evolutionary perspectives discussed above imply that this disruption may be particularly damaging when the target’s inventive capability is embedded in routines that do not survive the transfer of ownership. Whether an acquisition ultimately improves performance is therefore an empirical question and cannot be inferred solely from the strategic fit claimed at announcement.","These value-creating explanations must be weighed against a less favourable set of mechanisms. Agency theory holds that managers may pursue acquisitions to enlarge organisational size, visibility, or control even when the expected returns to shareholders are limited (Jensen, 1986), so that potential operating gains may be offset by overpayment, restructuring and integration costs, or managerial distraction. Integration may itself destroy value where resources are redundant, organisational routines are incompatible, or key scientific personnel depart. As the knowledge-based and evolutionary perspectives suggest, such disruption may be especially damaging when the target’s inventive capability is embedded in routines that do not survive the transfer of ownership. Whether an acquisition ultimately improves performance is therefore an empirical question, and cannot be inferred from the strategic fit asserted at announcement."
44,"A further possible explanation for lower post-acquisition innovation is deliberate commercial choice rather than unsuccessful integration. Arrow’s (1962) replacement effect suggests that an incumbent has weaker incentives than an entrant to introduce an innovation that would cannibalise profits from existing products. Gilbert and Newbery (1982) develop a related pre-emption argument in which the incumbent invests in order to protect its market position. In pharmaceutical context the acquiring firm may perceive an acquired project as being worth less if the product it is targeting is closely related to a product the acquiring firm is currently selling or developing. It can be empirically illustrated at project level (Cunningham et al. 2021), that an acquired drug project is more likely to be discarded if it is related to other drug projects in the acquiring firm's R&D pipeline, particularly in low competitive segments, or when related patents have a long remaining time before expiation. Nevertheless, the authors estimate that these ‘killer’ acquisitions represent only a minority of transactions.","A further explanation for lower post-acquisition innovation is deliberate commercial choice rather than failed integration. Arrow’s (1962) replacement effect implies that an incumbent has weaker incentives than an entrant to introduce an innovation that would cannibalise the profits of existing products, and Gilbert and Newbery (1982) develop a related pre-emption argument in which the incumbent invests to protect its market position. In the pharmaceutical setting, an acquirer may value an acquired project less highly when the product it targets is closely related to one the acquirer already sells or is developing. Cunningham et al. (2021) provide project-level evidence consistent with this reasoning: an acquired drug project is more likely to be discontinued when it overlaps with the acquirer’s existing pipeline, particularly in less competitive segments or where the relevant patents have long to run before expiry. The same authors nonetheless estimate that such ‘killer’ acquisitions account for only a minority of transactions."
45,"For the purposes of this review, it is important to distinguish between two concepts that may otherwise be conflated. The term therapeutic overlap is used to refer to product-market substitution—that is, whether an acquired project competes with therapies already held by the acquirer—and this form of overlap is generally expected to weaken development incentives. By contrast, technological relatedness concerns the extent to which two knowledge bases can be combined effectively and may have a non-linear, potentially beneficial relationship with innovation. These concepts require different data and different interpretations. Neither is tested as a confirmatory hypothesis in this thesis; both are considered further in Section 6.","For the purposes of this review, two concepts that are easily conflated should be kept distinct. Therapeutic overlap denotes product-market substitution—whether an acquired project competes with therapies the acquirer already holds—and is generally expected to weaken development incentives. Technological relatedness, by contrast, concerns how effectively two knowledge bases can be combined, and may bear a non-linear, potentially beneficial, relationship to innovation. The two require different data and support different interpretations. Neither is tested as a confirmatory hypothesis here; both are examined further in Section 6."
46,"Taken together, the theoretical perspectives reviewed above do not support a single prediction. The resource-based view, knowledge-based view, absorptive-capacity perspective, and complementary-assets theory explain how access to external knowledge may create value. In contrast, agency costs, disruption to organisational routines, weaker competitive pressure, and replacement incentives explain how value may be lost. Since these mechanisms may operate simultaneously and in opposite directions across innovation and financial performance, the two families of outcomes must first be estimated separately before their potential divergence can be examined.","Taken together, the perspectives reviewed above do not point to a single prediction. The resource-based view, the knowledge-based view, the absorptive-capacity perspective, and complementary-assets theory explain how access to external knowledge may create value, whereas agency costs, disruption to organisational routines, weaker competitive pressure, and replacement incentives explain how value may be lost. Because these mechanisms may operate at once and in opposite directions across innovation and financial performance, the two families of outcomes must be estimated separately before any divergence between them can be examined."
50,"The comparative design adopted in this thesis depends on a clear and observable distinction between the two acquisition categories. This section first defines each category, then explains why the distinction is analytically important, and finally considers the classification and measurement error associated with any rationale-based screening procedure.","The comparative design adopted in this thesis rests on a clear and observable distinction between the two acquisition categories. This section defines each category, explains why the distinction is analytically important, and then considers the classification and measurement error inherent in any rationale-based screening procedure."
52,"The term innovation-driven acquisition is used in this thesis to refer to a completed transaction in which the target contributes a material and identifiable innovation asset to the combined firm and access to that asset constitutes a central observable purpose of the deal. These may be owned molecules; pipeline assets in pre-clinical and clinical development; patented entities/patent families; science/technology platforms; expert R&D staff; research data; discovery capabilities or clinical development expertise; diagnostic tools or other R&D-enabled technologies; research capabilities or scientific expertise, all defined based on tangible characteristics prior to completion rather than manager representations of intent. 	Thus, a transaction is not classified as innovation-driven merely because the announcement uses the language of innovation. In the empirical design, candidate rationales such as expand offering / add products, access to resources, and forward or backward integration qualify only where the assets acquired are of the innovative types identified above.","An innovation-driven acquisition is defined here as a completed transaction in which the target contributes a material and identifiable innovation asset to the combined firm, and in which access to that asset constitutes a central, observable purpose of the deal. Such assets may include proprietary molecules; pre-clinical and clinical-stage pipeline assets; patents and patent families; scientific or technological platforms; specialised R&D staff; research data; discovery or clinical-development capabilities; and diagnostic tools or other R&D-enabled technologies. Each is defined by tangible characteristics observable before completion rather than by managers’ stated intentions. A transaction is not classified as innovation-driven merely because the announcement adopts the language of innovation. In the empirical design, candidate rationales such as expand offering / add products, access to resources, and forward or backward integration qualify only where the acquired assets are of the innovative types identified above."
53,"Two points should be noted in order to clarify the boundary of this definition. First, mature commercial products, established brands, generic products, production capacity, manufacturing plants, distribution networks, sales teams, supply chains, raw materials, and ordinary downstream commercial integration are not automatically treated as innovation assets, even when the stated rationale appears innovation-oriented. Second, it is not sufficient for only one criterion to be satisfied. An acquisition is classified as innovation-driven only where the target possessed a material innovation asset before completion and access to that asset was a central purpose of the transaction.","Two qualifications clarify the boundary of this definition. First, mature commercial products, established brands, generic products, production capacity, manufacturing plants, distribution networks, sales teams, supply chains, raw materials, and ordinary downstream commercial integration are not treated as innovation assets by default, even where the stated rationale appears innovation-oriented. Second, satisfying a single criterion is not sufficient: a transaction is classified as innovation-driven only where the target held a material innovation asset before completion and access to that asset was a central purpose of the deal."
55,"The term alternative-rationale acquisition is used here to refer to a completed transaction whose primary purpose is not the acquisition of innovation assets. The main candidate rationales include increase scale / business expansion, geographic expansion, business diversification, operational synergy, and access to a new customer segment. In general terms, these rationales concern organisational scale, commercial or geographic expansion, customer access, distribution, mature product portfolios, production capacity, operating efficiency, cost consolidation, and structural or organisational integration. It is important to emphasise that firms in this comparison group also complete an acquisition or merger. They do not constitute an untreated, non-acquiring, or no-acquisition control group; the estimand concerns the difference between two acquisition types rather than between acquisition and its absence.","An alternative-rationale acquisition is defined here as a completed transaction whose primary purpose is not the acquisition of innovation assets. The main candidate rationales are increase scale / business expansion, geographic expansion, business diversification, operational synergy, and access to a new customer segment. Broadly, these concern organisational scale, commercial or geographic expansion, customer access, distribution, mature product portfolios, production capacity, operating efficiency, cost consolidation, and structural or organisational integration. Crucially, firms in this comparison group also complete an acquisition or merger. They do not form an untreated, non-acquiring control group; the estimand concerns the difference between two acquisition types, not the difference between acquiring and not acquiring."
56,"It is important to recognise that two candidate rationales cannot be assigned mechanically. Business diversification may be innovation-driven when it is achieved through, for example, the acquisition of a gene-therapy platform, but it may be alternative-rationale when it involves a mature consumer-health portfolio. Similarly, operational synergy may be innovation-driven when it integrates R&D capability and alternative-rationale when it concerns manufacturing or distribution. Such transactions are therefore classified according to the underlying assets and available evidence rather than according to the rationale label alone.","Two of these candidate rationales cannot be assigned mechanically. Business diversification may be innovation-driven when it proceeds through, say, the acquisition of a gene-therapy platform, yet alternative-rationale when it involves a mature consumer-health portfolio. Operational synergy, likewise, may be innovation-driven when it integrates R&D capability and alternative-rationale when it concerns manufacturing or distribution. Transactions are therefore classified according to the underlying assets and the available evidence, rather than the rationale label alone."
58,"A rationale-based distinction is necessary because an aggregate measure of M&A combines transactions that operate through substantially different mechanisms. Ahuja and Katila (2001) find no significant post-acquisition innovation effect for non-technological transactions, whereas the effects of technological acquisitions vary according to relatedness and the characteristics of the acquired knowledge base. Similarly, Cloodt et al. (2006) report a conditional pattern across high-technology sectors. These findings suggest that pooling the two forms of transaction would average over distinct mechanisms and obscure the comparison that this thesis seeks to identify. Accordingly, the present design does not ask whether acquisition in general affects outcomes; it asks whether an innovation rationale is associated with a different trajectory when the fact of acquiring is held constant.","A rationale-based distinction is necessary because an aggregate measure of M&A pools transactions that operate through substantially different mechanisms. Ahuja and Katila (2001) find no significant post-acquisition innovation effect for non-technological transactions, while the effects of technological acquisitions vary with relatedness and the characteristics of the acquired knowledge base; Cloodt et al. (2006) report a similarly conditional pattern across high-technology sectors. Pooling the two forms of transaction would thus average over distinct mechanisms and obscure the comparison this thesis seeks to identify. The present design therefore does not ask whether acquisition in general affects outcomes, but whether an innovation rationale is associated with a different trajectory once the fact of acquiring is held constant."
59,"A further issue concerns selection into acquisition type. Bena and Li (2014) show that innovation characteristics help to predict which firms become acquirers and which combinations of firms merge, with transactions occurring more frequently where technological portfolios are linked or complementary. Phillips and Zhdanov (2013) further argue that the prospect of acquisition may stimulate R&D among smaller firms, while larger firms may prefer to purchase innovation rather than develop it internally. These studies suggest that acquisition rationale is not randomly assigned. A credible comparison group and an examination of pre-acquisition trends are therefore essential, as discussed in Section 5.","A further issue is selection into acquisition type. Bena and Li (2014) show that innovation characteristics help predict which firms become acquirers and which firms combine, with transactions occurring more often where technological portfolios are linked or complementary. Phillips and Zhdanov (2013) add that the prospect of acquisition may stimulate R&D among smaller firms, while larger firms may prefer to buy innovation rather than develop it internally. Acquisition rationale is, on this evidence, far from randomly assigned, which is why a credible comparison group and an examination of pre-acquisition trends are essential—matters taken up in Section 5."
61,"Because true managerial motive cannot be observed directly, the classification derived from disclosed transaction information should be regarded as a systematic first-stage screen rather than a perfect measure. This methodology is not without its flaws-there’s no room for both false positives and false negatives. In the former instance, an transaction motivated by financial criteria receives an innovative raison d’étre (perhaps if a mature set of assets or manufacturing & services facilities without a meaningful pre-deal innovation asset is targeted). The latter occurs if a legitimate pipeline, platform, or R&D capability is justified on the basis of its scale, the added diversification/integration possibilities it brings or a purely transaction-focused goal.Both forms of error were material in the transaction set used in this thesis and were reassigned using evidence available before completion. ","Because true managerial motive cannot be observed directly, a classification derived from disclosed transaction information is best regarded as a systematic first-stage screen rather than a perfect measure. Such a screen admits both false positives and false negatives. A false positive arises when a transaction motivated by financial or commercial considerations is assigned an innovation rationale—for example, where a mature asset base or a manufacturing or services facility is acquired without any meaningful pre-deal innovation asset. A false negative arises when a genuine pipeline, platform, or R&D capability is recorded under a rationale of scale, diversification, integration, or a purely transactional objective. Both forms of error were material in the transaction set used in this thesis and were reassigned using evidence available before completion."
62,"Three additional complications should be considered when interpreting the classification. First, mixed-motive transactions combine material innovation and commercial objectives. In the strict comparative design, such transactions are not forced into either category but are classified as mixed, borderline, or insufficient evidence and are either excluded from the main comparison or retained for sensitivity analysis. Second, error is not randomly distributed across the data, in that the data used to form classifications may differ across companies and time and be correlated with company characteristics. Third, the directional bias of any observed estimates cannot be simply presupposed: false negatives in the comparison group might push any differential estimates toward zero, whilst false positives might generate greater heterogeneity in the innovative group. Ultimately, the classification error has to be seen as a significant attribute of whatever value any estimates tell us about. This issue is revisited in the development of H1 and in the identification discussion.","Three further complications bear on the interpretation of the classification. First, mixed-motive transactions combine material innovation and commercial objectives; rather than force these into either category, the strict comparative design labels them mixed, borderline, or insufficient evidence, and either excludes them from the main comparison or retains them for sensitivity analysis. Second, the error is unlikely to be randomly distributed, since the evidence available for classification may vary across firms and over time and may be correlated with firm characteristics. Third, the direction of any resulting bias cannot be assumed in advance: false negatives in the comparison group may pull differential estimates towards zero, while false positives may add heterogeneity to the innovation-driven group. Classification error must therefore be treated as a material feature of what the estimates can be taken to show, a point revisited in the development of H1 and in the identification discussion."
64,"This section reviews the evidence concerning the effect of acquisition on the innovation performance of acquiring firms. It first considers evidence of negative and conditional outcomes, then distinguishes innovation quantity from innovation quality and discusses pharmaceutical development lags, before deriving the first confirmatory hypothesis.","This section reviews the evidence on the effect of acquisition on the innovation performance of acquiring firms. It first considers evidence of negative and conditional outcomes, then distinguishes innovation quantity from innovation quality and discusses the long development lags characteristic of pharmaceuticals, before deriving the first confirmatory hypothesis."
66,"A growing body of evidence suggests that post-completion innovation outcomes may be less favourable than the strategic arguments advanced by acquirers. In a broad manufacturing sample, Hitt et al. (1991) report negative associations between acquisition activity and both R&D intensity and patent intensity. Similarly, Ornaghi (2009) finds that merged pharmaceutical firms underperform comparable non-merging firms across several measures of R&D and innovation. Using European pharmaceutical mergers, Haucap, Rasch, and Stiebale (2019) identify substantial reductions in patenting and R&D among merged firms and, in some specifications, among non-merging rivals. The effects are largest in research-intensive markets and in fields where the merging firms already overlap, suggesting that both competition and the organisation of research influence the outcome. These declines have commonly been attributed to the elimination of duplicated research programmes, lower research diversity, and the discontinuation of overlapping projects discussed in Section 1.6.","A growing body of evidence suggests that post-completion innovation outcomes are often less favourable than the strategic arguments advanced at announcement would imply. In a broad manufacturing sample, Hitt et al. (1991) report negative associations between acquisition activity and both R&D intensity and patent intensity. In pharmaceuticals specifically, Ornaghi (2009) finds that merged firms underperform comparable non-merging firms across several measures of R&D and innovation. Using European pharmaceutical mergers, Haucap, Rasch, and Stiebale (2019) identify substantial reductions in patenting and R&D among merged firms and, in some specifications, among their non-merging rivals; the effects are largest in research-intensive markets and where the merging firms already overlap, which suggests that both competition and the organisation of research shape the outcome. These declines have commonly been attributed to the elimination of duplicated research programmes, reduced research diversity, and the discontinuation of overlapping projects discussed in Section 1.6."
68,"However, these findings should not be interpreted as evidence that every acquisition reduces innovation. The studies differ in their samples, treatment definitions, outcome measures, and identification strategies. Systematic reviews by Laermann-Nguyen and Backfisch (2021) and Suo et al. (2023) report positive, negative, and statistically insignificant effects, with results depending on knowledge complementarity, absorptive capacity, technological fit, and the characteristics of the acquirer and target. Absorptive capacity, technical fit and attributes of acquirers and targets (e. G. Aghion et al. 2009; Azoulay and Cremieux 2006; Blanes-Vidal and Ciocco 2012).","These findings should not, however, be read as evidence that every acquisition reduces innovation. The studies differ in their samples, treatment definitions, outcome measures, and identification strategies. Systematic reviews by Laermann-Nguyen and Backfisch (2021) and Suo et al. (2023) report positive, negative, and statistically insignificant effects, with outcomes depending on knowledge complementarity, absorptive capacity, technological fit, and the characteristics of the acquirer and target (e.g., Aghion et al., 2009; Azoulay and Crémieux, 2006; Blanes-Vidal and Ciocco, 2012 [SOURCE OR AUTHOR VERIFICATION REQUIRED: these three works are cited in the text but do not appear in the thesis reference list; they should be added to the reference list or removed])."
70,"A critical European cross-border caveat emerges from Stiebale (2016). This study estimates increases in innovativeness, but found the gains were concentrated in the acquiring country whilst activity in the target country decreased. Hence, overall, these studies seem to reach a qualified conclusion: that positive effects are the exception not the rule for horizontal drug mergers, but other factors such as acquirer/target, technical overlap and domestic division of labor over research can still allow this. This heterogeneity provides a strong justification for a rationale-based comparison rather than an aggregate acquisition effect.","An important cross-border qualification emerges from Stiebale (2016), who estimates increases in innovative activity but finds the gains concentrated in the acquiring country while activity in the target country declines. The literature thus reaches a qualified conclusion: unambiguously positive effects are the exception rather than the rule for horizontal pharmaceutical mergers, yet acquirer and target characteristics, technological overlap, and the cross-country division of research labour can still permit them. This heterogeneity provides a strong rationale for a comparison based on acquisition rationale rather than an aggregate acquisition effect."
72,"A major difficulty in evaluating pharmaceutical innovation is that no single indicator provides a complete measure, and the interpretation of an acquisition may vary with the outcome selected. R&D expenditure is an input measure and does not indicate what the expenditure produces; a decline may reflect either weaker research effort or increased efficiency. Patent counts are a measure of coded output and treat inventions of vastly different importance the same. Forward citations can signal technological impact. Hall, Jaffe and Trajtenberg (2001) note that gross citation counts will be affected by time and the technology of the cited patent, and are truncated; such estimates will then need to be normalized and interpreted as a quality-adjusted indicator and not as a direct indicator of commercial value. Valentini (2012) highlights the potential for a difference between quantity and quality; an acquisition might lead to an increase in patents, but a fall in their impact, novelty and generality such that a simple count measure could imply increased innovation activity as the new inventions become less inventive.","A central difficulty in evaluating pharmaceutical innovation is that no single indicator offers a complete measure, so the assessment of an acquisition can vary with the outcome chosen. R&D expenditure is an input measure and does not reveal what that expenditure produces; a decline may reflect either weaker research effort or greater efficiency. Patent counts capture codified output but treat inventions of very different importance alike. Forward citations can signal technological impact, but Hall, Jaffe, and Trajtenberg (2001) note that gross citation counts are affected by the age and technology field of the cited patent and are subject to truncation; they must therefore be normalised and interpreted as a quality-adjusted indicator rather than as a direct measure of commercial value. Valentini (2012) likewise highlights the potential divergence between quantity and quality: an acquisition may raise the number of patents while lowering their impact, novelty, and generality, so that a simple count could suggest greater innovation even as the underlying inventions become less inventive."
73,"Büssgen and Stargardt (2024) investigate other outcomes besides patents, and do not find evidence for improved innovation after Mergers. For the aims of this dissertation, the annually reported simple patent-family count ordered by earliest priority date is adopted as the main innovation outcome variable. This provides a clear measure of quantity that can be obtained readily and consistently for all European acquirers.Citation-weighted output is retained only as a secondary quality measure and only where cohort normalisation and adjustment for truncation can be implemented credibly. Although pipeline-stage indicators may offer conceptual advantages, they cannot be assembled consistently across the sample and are therefore reserved for future research.","Büssgen and Stargardt (2024) examine outcomes beyond patents and find no evidence of improved innovation following mergers. For the purposes of this thesis, the annual count of unique simple patent families ordered by earliest priority date is adopted as the primary innovation outcome, since it provides a clear measure of quantity that can be obtained readily and consistently for all European acquirers. Citation-weighted output is retained only as a secondary quality measure, and only where cohort normalisation and adjustment for truncation can be implemented credibly. Pipeline-stage indicators, although conceptually attractive, cannot be assembled consistently across the sample and are therefore reserved for future research."
75,"A further consideration is the unusually long development cycle of pharmaceutical innovation. A 3-year window post-acquisition may also fail to capture the value derived from the latestage pipeline products under ongoing clinical development or awaiting regulatory approvals beyond a 3 year timespan. Moreover, the patent-family numbers based on earliest priority year reflect a timeframe of invention and are not directly indicative of the commercial/clinical value achieved post-transaction for the acquired programme. Accordingly, a zero or negative difference in the volume of patents within the first three years of acquisition could coexist with a significant acquired value, yet to manifest under the given metric. This limitation should be borne in mind when interpreting H1.","A further consideration is the unusually long development cycle of pharmaceutical innovation. A three-year post-acquisition window may fail to capture value embodied in late-stage pipeline products that remain in clinical development or await regulatory approval beyond that horizon. Moreover, patent-family counts dated by earliest priority year reflect the timing of invention and are not a direct indication of the commercial or clinical value later realised from an acquired programme. A zero or negative difference in patent volume within the first three years could therefore coexist with substantial acquired value that has yet to register in the chosen metric—a limitation that should be borne in mind when interpreting H1."
